epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.825441360473633,6.895479234924316,0.28400000411987303,1.18400000289917,1e-05
1,6.5767741203308105,6.667889630432129,0.9840000103759765,3.750000004272461,0.000108
2,6.422140121459961,6.458607023620606,1.9399999978637694,6.588000008544922,0.000206
3,6.298476696014404,6.194031858520508,3.600000038452148,10.774000045166016,0.000304
4,6.187939643859863,5.809098304443359,6.459999998779297,17.674000028076172,0.000402
5,6.061529159545898,5.442884886779785,10.326000007324218,25.032000001220702,0.0004996573836886434
6,5.878279685974121,5.0987307344055175,14.296000018310547,31.76799996948242,0.0004995066821070679
7,5.721144676208496,4.759427574996948,17.923999985351564,37.34200004150391,0.0004993286193061145
8,5.599038124084473,4.399066743011475,21.780000095214845,42.95,0.0004991232148123761
9,5.473104000091553,4.032132569046021,26.049999986572267,48.69599993164063,0.00049889049115077
10,5.379288196563721,3.678547576446533,30.375999996337892,53.89399996582031,0.0004986304738420684
11,5.286442756652832,3.3838501684570312,34.09200002441406,58.41800011230469,0.000498343191400099
12,5.208734512329102,3.1525317964935304,37.1319999609375,61.88599995361328,0.0004980286753286195
13,5.144423961639404,2.953332259674072,39.885999929199215,64.86999997314453,0.0004976869601178609
14,5.081676483154297,2.7792829094696043,42.448000053710935,67.79200004394531,0.0004973180832407472
15,5.026906490325928,2.635979341926575,44.65600002197266,69.66599998535156,0.0004969220851487844
16,4.970081329345703,2.5139423522186277,46.58200004638672,71.45199998291015,0.0004964990092676262
17,4.917023658752441,2.411084467048645,48.320000017089846,72.98799997802735,0.0004960489019923105
18,4.880320072174072,2.325665826148987,49.873999931640626,74.44199997558594,0.0004955718126821722
19,4.830798149108887,2.2603701172637938,51.08599998046875,75.38000005371094,0.0004950677936554305
20,4.791088104248047,2.191861594734192,52.32999995361328,76.52599994628906,0.0004945369001834514
21,4.758718967437744,2.1251326120376586,53.506000085449216,77.45799994628906,0.0004939791904846869
22,4.715554714202881,2.061535365715027,54.84200000244141,78.42400012451172,0.0004933947257182901
23,4.685272216796875,2.014733670425415,55.600000053710936,79.22999999023438,0.000492783569977409
24,4.640376091003418,1.96602254737854,56.54400022705078,80.02600006591797,0.0004921457902821578
epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.792427062988281,6.7727889476013186,0.6980000009155274,2.5859999981689454,1e-05
1,6.554267883300781,6.4125057055664065,2.1119999977111816,7.00800000793457,0.000108
2,6.394444465637207,5.9493883952331545,5.136000008544922,14.638000008544921,0.000206
3,6.271843910217285,5.391547767944336,9.83599999206543,24.420000009765626,0.000304
4,6.1623663902282715,4.9818745600891114,14.24999999938965,31.854000009765624,0.000402
5,6.036452770233154,4.6283836465454105,17.78000000488281,37.194000006103515,0.0004996573836886434
6,5.874887943267822,4.3172372900390625,20.976000017089845,41.59199999023438,0.0004995066821070679
7,5.731350421905518,3.9837510349273684,24.57200003051758,46.64599997558594,0.0004993286193061145
8,5.590907573699951,3.625615439529419,29.142000037841797,52.654000009765625,0.0004991232148123761
9,5.484084129333496,3.3405503303527833,32.86600002807617,57.515999997558595,0.00049889049115077
10,5.391384124755859,3.1053979006958006,36.30200001342774,61.12200001953125,0.0004986304738420684
11,5.299872398376465,2.918529128265381,39.306000003662106,64.23000000732422,0.000498343191400099
12,5.220185279846191,2.7571247122192384,41.908000002441405,67.09800003173828,0.0004980286753286195
13,5.155211448669434,2.623468821411133,44.06999998657226,69.14200002441406,0.0004976869601178609
14,5.097073078155518,2.517213094329834,45.87599998413086,71.07799999023437,0.0004973180832407472
15,5.036710262298584,2.423969221076965,47.70200000854492,72.57600001708984,0.0004969220851487844
